Net,ViewStream,SplitNat,date,key1,key2
ESPN,2200000.0,0.0,2012-08-30,brigham-young,washington-state
ESPN,4100000.0,0.0,2012-08-30,south-carolina,vanderbilt
ESPNU,1500000.0,0.0,2012-08-31,north-carolina-state,tennessee
ESPN,4200000.0,0.0,2012-08-31,boise-state,michigan-state
ESPN,2000000.0,0.0,2012-09-01,arkansas-state,oregon
ABC,3500000.0,1.0,2012-09-01,nebraska,southern-mississippi
ESPN,3500000.0,0.0,2012-09-01,ohio,penn-state
ESPN,2800000.0,0.0,2012-09-01,bowling-green-state,florida
ABC,7900000.0,0.0,2012-09-01,alabama,michigan
ESPN,3600000.0,0.0,2012-09-01,auburn,clemson
FOX,1800000.0,0.0,2012-09-01,hawaii,southern-california
ABC,3500000.0,1.0,2012-09-01,boston-college,miami-fl
ESPN,2400000.0,0.0,2012-09-02,kentucky,louisville
ESPN,4300000.0,0.0,2012-09-03,georgia-tech,virginia-tech
ESPN,2200000.0,0.0,2012-09-06,cincinnati,pittsburgh
ESPN2,1600000.0,0.0,2012-09-07,utah,utah-state
ESPN,2900000.0,0.0,2012-09-08,louisiana-state,washington
ESPN2,4100000.0,0.0,2012-09-08,georgia,missouri
ESPN,4500000.0,0.0,2012-09-08,florida,texas-am
ABC,4700000.0,1.0,2012-09-08,southern-california,syracuse
NBC,2800000.0,0.0,2012-09-08,notre-dame,purdue
ESPN,2500000.0,0.0,2012-09-08,auburn,mississippi-state
FOX,4300000.0,0.0,2012-09-08,nebraska,ucla
ABC,4700000.0,1.0,2012-09-08,air-force,michigan
ABC,2800000.0,0.0,2012-09-08,penn-state,virginia
ESPN2,2200000.0,0.0,2012-09-08,central-florida,ohio-state
ESPN,1300000.0,0.0,2012-09-13,rutgers,south-florida
ESPN,1400000.0,0.0,2012-09-14,nevada-las-vegas,washington-state
ABC,5000000.0,0.0,2012-09-15,michigan-state,notre-dame
ABC,2700000.0,1.0,2012-09-15,louisville,north-carolina
ABC,2700000.0,1.0,2012-09-15,navy,penn-state
ESPN,2400000.0,0.0,2012-09-15,mississippi,texas
FOX,3900000.0,0.0,2012-09-15,southern-california,stanford
ESPN,5100000.0,0.0,2012-09-15,florida,tennessee
ABC,3800000.0,0.0,2012-09-15,california,ohio-state
ESPN,2100000.0,0.0,2012-09-20,boise-state,brigham-young
ESPN,2200000.0,0.0,2012-09-21,baylor,louisiana-monroe
ABC,4800000.0,0.0,2012-09-22,clemson,florida-state
ESPN,3000000.0,0.0,2012-09-22,arizona,oregon
NBC,6400000.0,0.0,2012-09-22,michigan,notre-dame
ESPN,3800000.0,0.0,2012-09-22,auburn,louisiana-state
FOX,2800000.0,0.0,2012-09-22,kansas-state,oklahoma
ESPN,2100000.0,0.0,2012-09-27,stanford,washington
ESPN,1400000.0,0.0,2012-09-28,brigham-young,hawaii
FOX,3800000.0,0.0,2012-09-29,oklahoma-state,texas
ESPN2,891000.0,0.0,2012-09-29,boston-college,clemson
ESPN,3500000.0,0.0,2012-09-29,alabama,mississippi
ESPN,1700000.0,0.0,2012-09-29,illinois,penn-state
ESPN2,1900000.0,0.0,2012-09-29,kentucky,south-carolina
ESPN,1700000.0,0.0,2012-09-29,florida-state,south-florida
ABC,5000000.0,0.0,2012-09-29,michigan-state,ohio-state
ESPN2,1700000.0,0.0,2012-09-29,oregon,washington-state
ESPN2,758000.0,0.0,2012-09-29,iowa,minnesota
ABC,4300000.0,0.0,2012-09-29,nebraska,wisconsin
ESPN,2300000.0,0.0,2012-10-04,southern-california,utah
ESPN,1400000.0,0.0,2012-10-05,brigham-young,utah-state
ESPN,1400000.0,0.0,2012-10-05,pittsburgh,syracuse
ESPN,4000000.0,0.0,2012-10-06,georgia,south-carolina
ESPN2,553000.0,1.0,2012-10-06,oklahoma,texas-tech
ESPN,1400000.0,0.0,2012-10-06,clemson,georgia-tech
NBC,3700000.0,0.0,2012-10-06,miami-fl,notre-dame
FOX,4600000.0,0.0,2012-10-06,texas,west-virginia
ABC,5200000.0,0.0,2012-10-06,nebraska,ohio-state
ABC,3100000.0,1.0,2012-10-06,illinois,wisconsin
ESPN2,1300000.0,0.0,2012-10-06,florida-state,north-carolina-state
ESPN2,1900000.0,0.0,2012-10-06,arkansas,auburn
ESPN,2500000.0,0.0,2012-10-06,northwestern,penn-state
ESPN,2500000.0,0.0,2012-10-06,oregon,washington
ESPN,823000.0,0.0,2012-10-11,arizona-state,colorado
ESPN2,884000.0,0.0,2012-10-12,central-michigan,navy
ESPN,6000000.0,0.0,2012-10-13,louisiana-state,south-carolina
ESPN2,1100000.0,0.0,2012-10-13,mississippi-state,tennessee
NBC,5200000.0,0.0,2012-10-13,notre-dame,stanford
ESPN2,646000.0,0.0,2012-10-13,minnesota,northwestern
ABC,4600000.0,1.0,2012-10-13,texas-tech,west-virginia
ESPN2,672000.0,0.0,2012-10-13,boston-college,florida-state
FOX,2500000.0,0.0,2012-10-13,southern-california,washington
ESPN,990000.0,1.0,2012-10-13,brigham-young,oregon-state
ESPN,2100000.0,0.0,2012-10-13,iowa,michigan-state
ABC,4600000.0,1.0,2012-10-13,illinois,michigan
ESPN2,366000.0,0.0,2012-10-16,louisiana-lafayette,north-texas
ESPN,1900000.0,0.0,2012-10-18,arizona-state,oregon
ESPN,1000000.0,0.0,2012-10-19,connecticut,syracuse
ABC,4000000.0,1.0,2012-10-20,texas-christian,texas-tech
ESPN,4200000.0,0.0,2012-10-20,alabama,tennessee
NBC,3700000.0,0.0,2012-10-20,brigham-young,notre-dame
ESPN2,666000.0,1.0,2012-10-20,nebraska,northwestern
ABC,4800000.0,1.0,2012-10-20,baylor,texas
ABC,4800000.0,1.0,2012-10-20,florida-state,miami-fl
CBS,4900000.0,0.0,2012-10-20,florida,south-carolina
ESPN2,1300000.0,0.0,2012-10-20,oregon-state,utah
ESPN,4200000.0,0.0,2012-10-20,louisiana-state,texas-am
ABC,4000000.0,1.0,2012-10-20,louisville,south-florida
FOX,2500000.0,0.0,2012-10-20,kansas-state,west-virginia
ESPN2,778000.0,0.0,2012-10-23,arkansas-state,louisiana-lafayette
ESPN,1200000.0,0.0,2012-10-25,clemson,wake-forest
ESPN2,2000000.0,0.0,2012-10-26,cincinnati,louisville
ESPN,3700000.0,0.0,2012-10-27,alabama,mississippi-state
ESPN2,640000.0,1.0,2012-10-27,arizona,southern-california
ABC,8600000.0,0.0,2012-10-27,notre-dame,oklahoma
ESPN,3900000.0,0.0,2012-10-27,south-carolina,tennessee
ESPN,3900000.0,0.0,2012-10-27,ohio-state,penn-state
ESPN2,2000000.0,0.0,2012-10-27,michigan,nebraska
ESPN2,909000.0,0.0,2012-10-27,iowa,northwestern
ESPN,1900000.0,0.0,2012-11-01,miami-fl,virginia-tech
ESPN2,1200000.0,0.0,2012-11-02,california,washington
ESPN2,2300000.0,0.0,2012-11-03,florida,missouri
ESPN2,889000.0,1.0,2012-11-03,michigan-state,nebraska
FOX,4500000.0,0.0,2012-11-03,oregon,southern-california
ESPN2,505000.0,0.0,2012-11-03,clemson,duke
NBC,6000000.0,0.0,2012-11-03,notre-dame,pittsburgh
ESPN,2200000.0,0.0,2012-11-03,illinois,ohio-state
ABC,2900000.0,0.0,2012-11-03,kansas-state,oklahoma-state
ESPN,1900000.0,0.0,2012-11-03,mississippi-state,texas-am
CBS,11300000.0,0.0,2012-11-03,alabama,louisiana-state
ESPN2,1000000.0,0.0,2012-11-03,arizona-state,oregon-state
ESPN2,570000.0,0.0,2012-11-06,ball-state,toledo
ESPN2,719000.0,0.0,2012-11-07,bowling-green-state,ohio
ESPN,2700000.0,0.0,2012-11-08,florida-state,virginia-tech
ESPNU,177000.0,0.0,2012-11-08,arkansas-state,louisiana-monroe
ESPN2,931000.0,0.0,2012-11-09,connecticut,pittsburgh
ESPN2,690000.0,0.0,2012-11-10,indiana,wisconsin
ESPNU,287000.0,0.0,2012-11-10,clemson,maryland
ESPNU,219000.0,0.0,2012-11-10,mississippi,vanderbilt
CBS,9600000.0,0.0,2012-11-10,alabama,texas-am
ESPN2,1700000.0,0.0,2012-11-10,auburn,georgia
FOX,3000000.0,0.0,2012-11-10,kansas-state,texas-christian
ABC,3500000.0,1.0,2012-11-10,oklahoma-state,west-virginia
ESPN,3700000.0,0.0,2012-11-10,california,oregon
ESPNU,122000.0,0.0,2012-11-10,army,rutgers
ESPN2,735000.0,0.0,2012-11-10,ucla,washington-state
ESPNU,191000.0,0.0,2012-11-10,brigham-young,idaho
ESPN2,617000.0,1.0,2012-11-10,nebraska,penn-state
ESPN,2600000.0,0.0,2012-11-10,michigan,northwestern
ABC,5800000.0,0.0,2012-11-10,boston-college,notre-dame
ESPN,2600000.0,0.0,2012-11-10,louisiana-state,mississippi-state
ESPNU,281000.0,0.0,2012-11-14,ball-state,ohio
ESPN2,557000.0,0.0,2012-11-14,northern-illinois,toledo
ESPN,1200000.0,0.0,2012-11-15,north-carolina,virginia
ESPNU,220000.0,0.0,2012-11-16,florida-atlantic,florida-international
ESPN2,794000.0,0.0,2012-11-16,air-force,hawaii
ESPN2,1300000.0,0.0,2012-11-17,michigan-state,northwestern
ESPNU,363000.0,0.0,2012-11-17,arizona,utah
ABC,4900000.0,1.0,2012-11-17,ohio-state,wisconsin
ESPNU,448000.0,0.0,2012-11-17,missouri,syracuse
ESPN2,845000.0,1.0,2012-11-17,clemson,north-carolina-state
ESPN,3300000.0,0.0,2012-11-17,baylor,kansas-state
ESPN2,1100000.0,0.0,2012-11-17,tennessee,vanderbilt
ESPNU,581000.0,0.0,2012-11-17,florida-state,maryland
ABC,8300000.000000001,0.0,2012-11-17,oregon,stanford
FOX,3200000.0,0.0,2012-11-17,oklahoma,west-virginia
ESPNU,192000.0,0.0,2012-11-17,duke,georgia-tech
ESPN,2600000.0,0.0,2012-11-17,iowa,michigan
ESPN2,455000.0,0.0,2012-11-17,brigham-young,san-jose-state
ESPN2,542000.0,0.0,2012-11-20,akron,toledo
ESPN,1900000.0,0.0,2012-11-22,texas,texas-christian
ABC,2800000.0,0.0,2012-11-23,iowa-state,west-virginia
ESPN,1900000.0,0.0,2012-11-23,arizona,arizona-state
FOX,2000000.0,0.0,2012-11-23,washington,washington-state
ABC,4100000.0,0.0,2012-11-23,iowa,nebraska
ESPNU,153000.0,0.0,2012-11-23,kent-state,ohio
ESPN2,536000.0,0.0,2012-11-23,syracuse,temple
ESPN,1600000.0,0.0,2012-11-23,cincinnati,south-florida
CBS,4200000.0,0.0,2012-11-23,arkansas,louisiana-state
FOX,2500000.0,0.0,2012-11-24,stanford,ucla
ESPN,3100000.0,0.0,2012-11-24,clemson,south-carolina
ABC,9500000.0,0.0,2012-11-24,michigan,ohio-state
ABC,8500000.0,0.0,2012-11-24,florida,florida-state
ABC,16100000.000000002,0.0,2012-11-24,notre-dame,southern-california
ESPNU,415000.0,0.0,2012-11-24,virginia,virginia-tech
ESPNU,99000.0,0.0,2012-11-24,vanderbilt,wake-forest
ESPN2,2000000.0,0.0,2012-11-24,penn-state,wisconsin
ESPN2,401000.0,0.0,2012-11-24,louisiana-tech,san-jose-state
ESPNU,502000.0,0.0,2012-11-24,mississippi,mississippi-state
FOX,1600000.0,0.0,2012-11-24,baylor,texas-tech
CBS,3900000.0,0.0,2012-11-24,alabama,auburn
ESPN2,1100000.0,0.0,2012-11-24,missouri,texas-am
ESPN,2300000.0,0.0,2012-11-24,georgia,georgia-tech
ESPN2,614000.0,0.0,2012-11-24,pittsburgh,rutgers
ESPN,2300000.0,0.0,2012-11-24,oklahoma,oklahoma-state
ESPN,1700000.0,0.0,2012-11-29,louisville,rutgers
FOX,4900000.0,0.0,2012-11-30,stanford,ucla
ESPN2,1300000.0,0.0,2012-11-30,kent-state,northern-illinois
ABC,5200000.0,0.0,2012-12-01,kansas-state,texas
ESPN2,590000.0,0.0,2012-12-01,central-florida,tulsa
ESPN,2000000.0,0.0,2012-12-01,florida-state,georgia-tech
FOX,5100000.0,0.0,2012-12-01,nebraska,wisconsin
ESPN2,349000.0,0.0,2012-12-01,pittsburgh,south-florida
CBS,16200000.0,0.0,2012-12-01,alabama,georgia
ESPN,3300000.0,0.0,2012-12-01,oklahoma,texas-christian
ESPN,2740000.0,0.0,2013-08-29,mississippi,vanderbilt
ESPN,3650000.0,0.0,2013-08-29,north-carolina,south-carolina
FS1,311000.0,0.0,2013-08-29,utah,utah-state
ESPNU,199000.0,0.0,2013-08-29,bowling-green-state,tulsa
ESPNU,241000.0,0.0,2013-08-29,fresno-state,rutgers
ESPN,2130000.0,0.0,2013-08-30,southern-methodist,texas-tech
FS1,585000.0,0.0,2013-08-30,kansas-state,north-dakota-state
ESPNU,541000.0,0.0,2013-08-30,florida-atlantic,miami-fl
FS1,493000.0,0.0,2013-08-31,west-virginia,william-mary
ESPN2,714000.0,0.0,2013-08-31,california,northwestern
ESPNU,328000.0,0.0,2013-08-31,cincinnati,purdue
ESPNU,299000.0,0.0,2013-08-31,brigham-young,virginia
ABC,8140000.000000001,0.0,2013-08-31,clemson,georgia
ABC,3670000.0,1.0,2013-08-31,mississippi-state,oklahoma-state
ESPN2,1890000.0,0.0,2013-08-31,buffalo,ohio-state
FS1,412000.0,0.0,2013-08-31,nicholls-state,oregon
ESPNU,922000.0,0.0,2013-08-31,auburn,washington-state
FS1,710000.0,0.0,2013-08-31,boise-state,washington
ESPN,3170000.0,0.0,2013-08-31,louisiana-state,texas-christian
ESPN2,654000.0,1.0,2013-08-31,penn-state,syracuse
ESPN,4210000.0,0.0,2013-08-31,rice,texas-am
ESPN,5170000.0,0.0,2013-08-31,alabama,virginia-tech
NBC,2500000.0,0.0,2013-08-31,notre-dame,temple
ESPN,1760000.0,0.0,2013-09-01,louisville,ohio
ESPN,4470000.0,0.0,2013-09-02,florida-state,pittsburgh
FS1,181000.0,0.0,2013-09-05,east-carolina,florida-atlantic
ESPN2,1090000.0,0.0,2013-09-06,boston-college,wake-forest
ABC,4080000.0,1.0,2013-09-07,oregon,virginia
ESPN2,553000.0,0.0,2013-09-07,cincinnati,illinois
ESPN2,1290000.0,0.0,2013-09-07,brigham-young,texas
ESPNU,326000.0,0.0,2013-09-07,missouri,toledo
ESPNU,576000.0,0.0,2013-09-07,michigan-state,south-florida
FS1,315000.0,0.0,2013-09-07,kansas-state,louisiana-lafayette
ESPN2,920000.0,1.0,2013-09-07,ohio-state,san-diego-state
ESPN,8650000.0,0.0,2013-09-07,michigan,notre-dame
FS1,347000.0,0.0,2013-09-07,oklahoma-state,texas-san-antonio
ESPN,7050000.0,0.0,2013-09-07,georgia,south-carolina
FOX,3430000.0,0.0,2013-09-07,oklahoma,west-virginia
ESPN,4600000.0,0.0,2013-09-07,florida,miami-fl
ESPNU,659000.0,0.0,2013-09-07,alabama-birmingham,louisiana-state
FS1,825000.0,0.0,2013-09-07,southern-california,washington-state
ESPNEWS,123000.0,0.0,2013-09-07,maryland,old-dominion
ESPN,2280000.0,0.0,2013-09-12,texas-christian,texas-tech
ESPNU,137000.0,0.0,2013-09-12,arkansas-state,troy
FS1,124000.0,0.0,2013-09-12,louisiana-tech,tulane
ESPN,2000000.0,0.0,2013-09-13,air-force,boise-state
ESPN2,1030000.0,0.0,2013-09-14,oklahoma,tulsa
ESPNU,601000.0,0.0,2013-09-14,kent-state,louisiana-state
ESPN,2280000.0,0.0,2013-09-14,kentucky,louisville
FS1,567000.0,0.0,2013-09-14,iowa,iowa-state
ESPN2,1860000.0,0.0,2013-09-14,auburn,mississippi-state
FOX,3250000.0,0.0,2013-09-14,california,ohio-state
FS1,347000.0,0.0,2013-09-14,east-carolina,virginia-tech
CBS,13590000.0,0.0,2013-09-14,alabama,texas-am
ESPN,1880000.0,0.0,2013-09-14,south-carolina,vanderbilt
ABC,4190000.000000001,0.0,2013-09-14,nebraska,ucla
ESPNEWS,86000.0,0.0,2013-09-14,marshall,ohio
ESPN,2530000.0,0.0,2013-09-14,arizona-state,wisconsin
ABC,3160000.0,0.0,2013-09-14,oregon,tennessee
ESPNU,161000.0,0.0,2013-09-14,duke,georgia-tech
ESPNU,195000.0,0.0,2013-09-14,bowling-green-state,indiana
ABC,4790000.0,0.0,2013-09-14,notre-dame,purdue
ESPN,1070000.0,0.0,2013-09-14,florida-state,nevada
FS1,396000.0,0.0,2013-09-14,oregon-state,utah
ESPN,2600000.0,0.0,2013-09-19,clemson,north-carolina-state
ESPN,2120000.0,0.0,2013-09-20,boise-state,fresno-state
ABC,2780000.0,1.0,2013-09-21,purdue,wisconsin
ESPN2,415000.0,1.0,2013-09-21,southern-california,utah-state
ESPNU,599000.0,0.0,2013-09-21,maryland,west-virginia
FOX,1890000.0,0.0,2013-09-21,arizona-state,stanford
ESPN2,2780000.0,0.0,2013-09-21,alabama,colorado-state
ESPNEWS,174000.0,0.0,2013-09-21,massachusetts,vanderbilt
ESPNU,809000.0,0.0,2013-09-21,southern-methodist,texas-am
ESPNU,738000.0,0.0,2013-09-21,marshall,virginia-tech
FS1,159000.0,0.0,2013-09-21,baylor,louisiana-monroe
NBC,4790000.0,0.0,2013-09-21,michigan-state,notre-dame
ESPN2,638000.0,0.0,2013-09-21,minnesota,san-jose-state
ESPN,1620000.0,0.0,2013-09-21,arkansas,rutgers
FS1,289000.0,0.0,2013-09-21,kansas,louisiana-tech
ABC,5730000.0,1.0,2013-09-21,kansas-state,texas
ABC,5730000.0,1.0,2013-09-21,connecticut,michigan
ESPN,3800000.0,0.0,2013-09-21,auburn,louisiana-state
ESPNU,271000.0,0.0,2013-09-21,air-force,wyoming
ESPN2,1260000.0,0.0,2013-09-21,brigham-young,utah
ESPN,2330000.0,0.0,2013-09-21,georgia-tech,north-carolina
ESPN,2310000.0,0.0,2013-09-26,georgia-tech,virginia-tech
FS1,244000.0,0.0,2013-09-26,iowa-state,tulsa
ESPNU,313000.0,0.0,2013-09-27,brigham-young,middle-tennessee-state
ESPN,838000.0,0.0,2013-09-27,san-jose-state,utah-state
ESPN,1850000.0,0.0,2013-09-28,stanford,washington-state
ESPNU,374000.0,0.0,2013-09-28,miami-fl,south-florida
FS1,263000.0,0.0,2013-09-28,southern-methodist,texas-christian
ESPNEWS,152000.0,0.0,2013-09-28,navy,western-kentucky
ABC,6750000.0,0.0,2013-09-28,ohio-state,wisconsin
ABC,2920000.0,1.0,2013-09-28,iowa,minnesota
ESPNU,362000.0,0.0,2013-09-28,clemson,wake-forest
ESPN2,1560000.0,0.0,2013-09-28,arizona-state,southern-california
FOX,1820000.0,0.0,2013-09-28,arizona,washington
ESPN2,501000.0,0.0,2013-09-28,northern-illinois,purdue
ABC,3200000.0,0.0,2013-09-28,central-florida,south-carolina
FS1,129000.0,0.0,2013-09-28,army,louisiana-tech
ESPN2,460000.0,1.0,2013-09-28,boston-college,florida-state
ESPN,4020000.0,0.0,2013-09-28,alabama,mississippi
ESPNU,329000.0,0.0,2013-09-28,boise-state,southern-mississippi
ESPNU,950000.0,0.0,2013-09-28,florida,kentucky
CBS,7390000.0,0.0,2013-09-28,georgia,louisiana-state
ESPN,2790000.0,0.0,2013-09-28,oklahoma-state,west-virginia
NBC,3890000.0,0.0,2013-09-28,notre-dame,oklahoma
ESPN2,2760000.0,0.0,2013-09-28,arkansas,texas-am
ESPN,2400000.0,0.0,2013-10-03,iowa-state,texas
FS1,596000.0,0.0,2013-10-03,ucla,utah
ESPNU,81000.0,0.0,2013-10-03,louisiana-monroe,western-kentucky
ESPN,913000.0,0.0,2013-10-04,nevada,san-diego-state
ESPN2,1030000.0,1.0,2013-10-05,kansas-state,oklahoma-state
ESPN,2290000.0,0.0,2013-10-05,florida-state,maryland
FS1,539000.0,0.0,2013-10-05,baylor,west-virginia
ABC,4420000.0,1.0,2013-10-05,michigan,minnesota
ESPNU,857000.0,0.0,2013-10-05,georgia-tech,miami-fl
CBS,1390000.0,0.0,2013-10-05,air-force,navy
ESPN2,1550000.0,0.0,2013-10-05,arkansas,florida
ESPNEWS,241000.0,0.0,2013-10-05,rutgers,southern-methodist
ABC,7360000.0,0.0,2013-10-05,northwestern,ohio-state
ESPN,2240000.0,0.0,2013-10-05,louisiana-state,mississippi-state
FS1,471000.0,0.0,2013-10-05,kansas,texas-tech
NBC,3680000.0,0.0,2013-10-05,arizona-state,notre-dame
ABC,4420000.0,1.0,2013-10-05,clemson,syracuse
ESPNU,781000.0,0.0,2013-10-05,illinois,nebraska
ESPN,2570000.0,0.0,2013-10-05,stanford,washington
ESPNU,943000.0,0.0,2013-10-05,auburn,mississippi
CBS,5610000.0,0.0,2013-10-05,georgia,tennessee
FS1,358000.0,0.0,2013-10-05,california,washington-state
ESPN2,1490000.0,0.0,2013-10-05,iowa,michigan-state
FOX,2020000.0,0.0,2013-10-05,oklahoma,texas-christian
ESPN,1660000.0,0.0,2013-10-10,louisville,rutgers
FS1,535000.0,0.0,2013-10-10,arizona,southern-california
ESPN,872000.0,0.0,2013-10-11,cincinnati,temple
ESPN,5110000.0,0.0,2013-10-12,mississippi,texas-am
ESPNU,353000.0,0.0,2013-10-12,maryland,virginia
ESPN2,966000.0,0.0,2013-10-12,california,ucla
CBS,5020000.0,0.0,2013-10-12,florida,louisiana-state
ESPNU,388000.0,0.0,2013-10-12,pittsburgh,virginia-tech
ESPNU,358000.0,0.0,2013-10-12,brigham-young,georgia-tech
FS1,148000.0,0.0,2013-10-12,texas-el-paso,tulsa
ESPNEWS,79000.0,0.0,2013-10-12,houston,memphis
ABC,4710000.0,0.0,2013-10-12,oklahoma,texas
ABC,3460000.0,1.0,2013-10-12,boston-college,clemson
ESPN,3010000.0,0.0,2013-10-12,georgia,missouri
FOX,1400000.0,0.0,2013-10-12,baylor,kansas-state
ESPN2,2560000.0,0.0,2013-10-12,alabama,kentucky
ESPN,4040000.0,0.0,2013-10-12,michigan,penn-state
FS1,442000.0,0.0,2013-10-12,iowa-state,texas-tech
ESPN2,958000.0,0.0,2013-10-12,indiana,michigan-state
FS1,1770000.0,0.0,2013-10-12,oregon,washington
ESPN2,513000.0,1.0,2013-10-12,northwestern,wisconsin
ESPNU,493000.0,0.0,2013-10-12,oregon-state,washington-state
ESPN2,456000.0,0.0,2013-10-15,louisiana-lafayette,western-kentucky
ESPN,2180000.0,0.0,2013-10-17,miami-fl,north-carolina
ESPN,2220000.0,0.0,2013-10-18,central-florida,louisville
ESPNU,179000.0,0.0,2013-10-19,maryland,wake-forest
ESPN,1960000.0,0.0,2013-10-19,kansas,oklahoma
ESPN,3370000.0,0.0,2013-10-19,south-carolina,tennessee
ESPNU,56000.0,0.0,2013-10-19,cincinnati,connecticut
ESPN2,946000.0,0.0,2013-10-19,california,oregon-state
NBC,3460000.0,0.0,2013-10-19,notre-dame,southern-california
ABC,5340000.0,1.0,2013-10-19,iowa,ohio-state
ESPNEWS,171000.0,0.0,2013-10-19,navy,toledo
CBS,2400000.0,0.0,2013-10-19,georgia,vanderbilt
FS1,1140000.0,0.0,2013-10-19,oregon,washington-state
ABC,5680000.0,0.0,2013-10-19,clemson,florida-state
ESPNU,221000.0,0.0,2013-10-19,baylor,iowa-state
FOX,1180000.0,0.0,2013-10-19,oklahoma-state,texas-christian
FS1,770000.0,0.0,2013-10-19,texas-tech,west-virginia
ESPN2,2600000.0,0.0,2013-10-19,louisiana-state,mississippi
ESPN2,921000.0,1.0,2013-10-19,stanford,ucla
CBS,6730000.0,0.0,2013-10-19,auburn,texas-am
ESPNEWS,205000.0,0.0,2013-10-19,brigham-young,houston
ESPN2,821000.0,0.0,2013-10-19,minnesota,northwestern
ESPN,2330000.0,0.0,2013-10-19,alabama,arkansas
ESPN2,767000.0,0.0,2013-10-22,arkansas-state,louisiana-lafayette
FS1,91000.0,0.0,2013-10-24,marshall,middle-tennessee-state
ESPN,1330000.0,0.0,2013-10-24,kentucky,mississippi-state
ESPN,1970000.0,0.0,2013-10-25,boise-state,brigham-young
ESPN,2230000.0,0.0,2013-10-26,oregon-state,stanford
FS1,399000.0,0.0,2013-10-26,california,washington
ABC,3330000.0,1.0,2013-10-26,florida-state,north-carolina-state
CBS,4030000.000000001,0.0,2013-10-26,alabama,tennessee
FS1,676000.0,0.0,2013-10-26,texas,texas-christian
ESPNU,525000.0,0.0,2013-10-26,duke,virginia-tech
ESPN2,458000.0,1.0,2013-10-26,illinois,michigan-state
ESPN2,749000.0,0.0,2013-10-26,fresno-state,san-diego-state
ESPNU,212000.0,0.0,2013-10-26,baylor,kansas
FS1,493000.0,0.0,2013-10-26,kansas-state,west-virginia
ESPN2,605000.0,0.0,2013-10-26,louisville,south-florida
ABC,4060000.0,0.0,2013-10-26,ohio-state,penn-state
ESPN,3130000.0,0.0,2013-10-26,minnesota,nebraska
ESPNEWS,167000.0,0.0,2013-10-26,houston,rutgers
ESPN,2330000.0,0.0,2013-10-26,clemson,maryland
FOX,3800000.0,0.0,2013-10-26,oklahoma,texas-tech
ESPN,3670000.0,0.0,2013-10-26,oregon,ucla
ESPN2,3050000.0,0.0,2013-10-26,missouri,south-carolina
ESPNU,885000.0,0.0,2013-10-26,miami-fl,wake-forest
ESPN2,437000.0,0.0,2013-10-30,cincinnati,memphis
ESPN,896000.0,0.0,2013-10-31,arizona-state,washington-state
ESPN,1130000.0,0.0,2013-10-31,houston,south-florida
ESPNU,73000.0,0.0,2013-10-31,louisiana-monroe,troy
FS1,108000.0,0.0,2013-10-31,north-texas,rice
ESPN,1770000.0,0.0,2013-11-01,oregon-state,southern-california
ESPN2,820000.0,1.0,2013-11-02,iowa,wisconsin
FS1,338000.0,0.0,2013-11-02,colorado,ucla
ESPNU,484000.0,0.0,2013-11-02,texas-christian,west-virginia
ABC,3520000.0,1.0,2013-11-02,boston-college,virginia-tech
ABC,8350000.0,0.0,2013-11-02,florida-state,miami-fl
ESPN2,1690000.0,0.0,2013-11-02,arkansas,auburn
ESPN,1240000.0,0.0,2013-11-02,clemson,virginia
ESPN,2020000.0,0.0,2013-11-02,illinois,penn-state
ESPNU,362000.0,0.0,2013-11-02,georgia-tech,pittsburgh
NBC,2560000.0,0.0,2013-11-02,navy,notre-dame
ESPNU,331000.0,0.0,2013-11-02,air-force,army
ESPN,2280000.0,0.0,2013-11-02,missouri,tennessee
ESPNU,470000.0,0.0,2013-11-02,fresno-state,nevada
ESPN2,1120000.0,0.0,2013-11-02,texas-am,texas-el-paso
ABC,5170000.0,0.0,2013-11-02,michigan,michigan-state
FS1,371000.0,0.0,2013-11-02,iowa-state,kansas-state
CBS,4920000.0,0.0,2013-11-02,florida,georgia
FOX,2390000.0,0.0,2013-11-02,oklahoma-state,texas-tech
ESPN2,559000.0,0.0,2013-11-05,buffalo,ohio
ESPNU,167000.0,0.0,2013-11-05,bowling-green-state,miami-oh
ESPN2,592000.0,0.0,2013-11-06,ball-state,central-michigan
ESPN,5730000.0,0.0,2013-11-07,oregon,stanford
ESPNU,101000.0,0.0,2013-11-07,louisiana-lafayette,troy
FS1,2110000.0,0.0,2013-11-07,baylor,oklahoma
ESPNU,253000.0,0.0,2013-11-08,air-force,new-mexico
ESPN2,1040000.0,0.0,2013-11-08,connecticut,louisville
ESPNU,587000.0,0.0,2013-11-09,kentucky,missouri
ESPN2,431000.0,0.0,2013-11-09,central-florida,houston
ESPN,2180000.0,0.0,2013-11-09,brigham-young,wisconsin
ABC,2600000.0,1.0,2013-11-09,kansas-state,texas-tech
ESPN2,1410000.0,0.0,2013-11-09,minnesota,penn-state
FOX,1030000.0,0.0,2013-11-09,california,southern-california
CBS,4530000.0,0.0,2013-11-09,mississippi-state,texas-am
ESPNU,75000.0,0.0,2013-11-09,nevada-las-vegas,utah-state
ESPNU,411000.0,0.0,2013-11-09,duke,north-carolina-state
ESPN,1510000.0,0.0,2013-11-09,arizona,ucla
FOX,2650000.0,0.0,2013-11-09,texas,west-virginia
