id,season,week,seasonType,startTime,isStartTimeTBD,homeTeam,homeConference,awayTeam,awayConference,mediaType,outlet
400787304,2015,1,regular,2015-09-05T19:30:00.000Z,False,Miami (OH),Mid-American,Presbyterian,Big South,web,ESPN3
400795610,2015,6,regular,2015-10-10T18:00:00.000Z,False,Coastal Carolina,Big South,Presbyterian,Big South,web,ESPN3
400795624,2015,10,regular,2015-11-07T20:30:00.000Z,False,Liberty,Big South,Presbyterian,Big South,web,ESPN3
400763594,2015,2,regular,2015-09-12T16:00:00.000Z,False,Charlotte,Conference USA,Presbyterian,Big South,web,ESPN3
400763411,2015,2,regular,2015-09-12T23:30:00.000Z,False,Oklahoma State,Big 12,Central Arkansas,Southland,tv,FSN
400764861,2015,1,regular,2015-09-05T23:00:00.000Z,False,South Florida,American Athletic,Florida A&M,MEAC,web,ESPN3
400603863,2015,2,regular,2015-09-12T16:00:00.000Z,False,Auburn,SEC,Jacksonville State,OVC,tv,SECN
400795778,2015,4,regular,2015-09-26T19:00:00.000Z,False,UT Martin,OVC,Jacksonville State,OVC,web,ESPN3
400857728,2015,1,postseason,2016-01-09T17:00:00.000Z,False,North Dakota State,MVFC,Jacksonville State,OVC,tv,ESPN2
400795802,2015,10,regular,2015-11-07T19:00:00.000Z,False,Eastern Illinois,OVC,Jacksonville State,OVC,web,ESPN3
400603880,2015,5,regular,2015-10-03T23:30:00.000Z,False,Kentucky,SEC,Eastern Kentucky,OVC,tv,SECN
400603880,2015,5,regular,2015-10-03T23:30:00.000Z,False,Kentucky,SEC,Eastern Kentucky,OVC,web,SECN+
400795796,2015,9,regular,2015-10-31T18:00:00.000Z,False,Jacksonville State,OVC,Eastern Kentucky,OVC,web,ESPN3
400756914,2015,2,regular,2015-09-12T22:00:00.000Z,False,NC State,ACC,Eastern Kentucky,OVC,web,ESPN3
400763412,2015,2,regular,2015-09-12T19:30:00.000Z,False,TCU,Big 12,Stephen F. Austin,Southland,tv,FS1
400763408,2015,2,regular,2015-09-12T23:30:00.000Z,False,Baylor,Big 12,Lamar,Southland,tv,FSN
400856849,2015,1,postseason,2015-12-19T21:00:00.000Z,False,Jacksonville State,OVC,Sam Houston,Southland,tv,ESPNU
